sysname,chassis,source_ip,interface,lag,port,port_type,queue_group_port,address,isis,mpls,rsvp,slope-policy,egress-scheduler-policy,queue-policy,qos,queue-group
PUEMTX-PUE7020-EB,7750,10.190.2.112,To-MXPUEPUE0759RTBHCSRMOB01-S22,200,,,,10.238.128.24/31,10,1,1,,,,1000,IPMEAN-QG:10G
PUEMTX-PUE7020-EB,7750,10.190.2.112,To-ORIZABA-WAM,,1/1/5,xgige,policer-output-queues,10.190.45.186/31,0,1,1,7x50-IPMEAN_ntw_wred,PS-IPMEAN-access:Mobile,7x50-IPMEAN:standard,1000,IPMEAN-QG:10G
PUEMTX-PUE7020-EB,7750,10.190.2.112,To-PUEBLA-AAM,,2/1/10,xcme,IPMEAN-QG:1G,10.190.44.88/31,0,1,1,7x50-IPMEAN_ntw_wred,PS-IPMEAN-network:unshaped,7x50-IPMEAN:standard,1000,IPMEAN-QG:1G
PUEMTX-PUE7020-EB,7750,10.190.2.112,To-PUEBLA-ABM,,2/1/9,xcme,IPMEAN-QG:1G,10.190.44.90/31,0,1,1,7x50-IPMEAN_ntw_wred,PS-IPMEAN-network:unshaped,7x50-IPMEAN:standard,1000,IPMEAN-QG:1G
PUEMTX-PUE7020-EB,7750,10.190.2.112,To-PUEBLA-CBM01,20,,,,10.190.44.73/31,0,1,1,,,,1000,IPMEAN-QG:10G
PUEMTX-PUE7020-EB,7750,10.190.2.112,To-PUEBLA-EAM,,1/1/2,xgige,IPMEAN-QG:10G,10.190.44.79/31,0,1,1,7x50-IPMEAN_ntw_wred,PS-IPMEAN-network:unshaped,7x50-IPMEAN:standard,1000,IPMEAN-QG:10G
PUEMTX-PUE7020-EB,7750,10.190.2.112,To-PUEBLA-SBM,,1/1/3,xgige,IPMEAN-QG:10G,10.190.44.82/31,0,1,1,7x50-IPMEAN_ntw_wred,PS-IPMEAN-network:unshaped,7x50-IPMEAN:standard,1000,IPMEAN-QG:10G
PUEMTX-PUE7020-EB,7750,10.190.2.112,system,,,,,10.190.2.112/32,,1,1,,,,,
PUEMTX-PUE7020-SB,7450,10.190.2.114,To-PUEBLA-EBF,,2/2/1,xgige,IPMEAN-QG:10G,10.190.44.83/31,0,1,1,7x50-IPMEAN_ntw_wred,PS-IPMEAN-network:unshaped,7x50-IPMEAN:standard,1000,IPMEAN-QG:10G
PUEMTX-PUE7020-SB,7450,10.190.2.114,To-PUEBLA-SA,,2/2/2,xgige,IPMEAN-QG:10G,10.190.45.255/31,0,1,1,7x50-IPMEAN_ntw_wred,PS-IPMEAN-network:unshaped,7x50-IPMEAN:standard,1000,IPMEAN-QG:10G
PUEMTX-PUE7020-SB,7450,10.190.2.114,system,,,,,10.190.2.114/32,,1,1,,,,,
FORTIN-OAX7005-AA,7705,10.190.2.134,To-FORTIN-GAM,,1/5/8,xcme,,10.190.45.134/31,,1,1,,,7705-IPMEAN-internal:1G,,
FORTIN-OAX7005-AA,7705,10.190.2.134,system,,,,,10.190.2.134/32,,1,1,,,,,
